/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/dec.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
/home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/aelib/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
INFO:root:Iter:44000 metric:0.027992
INFO:root:Iter:45000 metric:0.027932
INFO:root:Iter:46000 metric:0.027868
INFO:root:Iter:47000 metric:0.027816
INFO:root:Iter:48000 metric:0.027761
INFO:root:Iter:49000 metric:0.027713
INFO:root:Fine tuning...
INFO:root:Iter:0 metric:1.011584
INFO:root:Iter:1000 metric:0.294582
INFO:root:Iter:2000 metric:0.223626
INFO:root:Iter:3000 metric:0.206587
INFO:root:Iter:4000 metric:0.196585
INFO:root:Iter:5000 metric:0.189436
INFO:root:Iter:6000 metric:0.184394
INFO:root:Iter:7000 metric:0.180098
INFO:root:Iter:8000 metric:0.176450
INFO:root:Iter:9000 metric:0.173277
INFO:root:Iter:10000 metric:0.170603
INFO:root:Iter:11000 metric:0.168599
INFO:root:Iter:12000 metric:0.166738
INFO:root:Iter:13000 metric:0.164841
INFO:root:Iter:14000 metric:0.163128
INFO:root:Iter:15000 metric:0.161710
INFO:root:Iter:16000 metric:0.160354
INFO:root:Iter:17000 metric:0.159165
INFO:root:Iter:18000 metric:0.158066
INFO:root:Iter:19000 metric:0.157445
INFO:root:At Iteration [20000]: Swith to new learning rate 0.01000
INFO:root:Iter:20000 metric:0.155807
INFO:root:Iter:21000 metric:0.149272
INFO:root:Iter:22000 metric:0.148338
INFO:root:Iter:23000 metric:0.148025
INFO:root:Iter:24000 metric:0.147813
INFO:root:Iter:25000 metric:0.147558
INFO:root:Iter:26000 metric:0.147349
INFO:root:Iter:27000 metric:0.147161
INFO:root:Iter:28000 metric:0.146989
INFO:root:Iter:29000 metric:0.146799
INFO:root:Iter:30000 metric:0.146638
INFO:root:Iter:31000 metric:0.146471
INFO:root:Iter:32000 metric:0.146324
INFO:root:Iter:33000 metric:0.146180
INFO:root:Iter:34000 metric:0.145990
INFO:root:Iter:35000 metric:0.145862
INFO:root:Iter:36000 metric:0.145727
INFO:root:Iter:37000 metric:0.145595
INFO:root:Iter:38000 metric:0.145457
INFO:root:Iter:39000 metric:0.145317
INFO:root:At Iteration [40000]: Swith to new learning rate 0.00100
INFO:root:Iter:40000 metric:0.145203
INFO:root:Iter:41000 metric:0.144604
INFO:root:Iter:42000 metric:0.144511
INFO:root:Iter:43000 metric:0.144502
INFO:root:Iter:44000 metric:0.144462
INFO:root:Iter:45000 metric:0.144427
INFO:root:Iter:46000 metric:0.144443
INFO:root:Iter:47000 metric:0.144391
INFO:root:Iter:48000 metric:0.144418
INFO:root:Iter:49000 metric:0.144367
INFO:root:Iter:50000 metric:0.144362
INFO:root:Iter:51000 metric:0.144332
INFO:root:Iter:52000 metric:0.144350
INFO:root:Iter:53000 metric:0.144313
INFO:root:Iter:54000 metric:0.144310
INFO:root:Iter:55000 metric:0.144308
INFO:root:Iter:56000 metric:0.144308
INFO:root:Iter:57000 metric:0.144249
INFO:root:Iter:58000 metric:0.144271
INFO:root:Iter:59000 metric:0.144230
INFO:root:At Iteration [60000]: Swith to new learning rate 0.00010
INFO:root:Iter:60000 metric:0.144223
INFO:root:Iter:61000 metric:0.144123
INFO:root:Iter:62000 metric:0.144128
